# 
# Experiment started at 03.04.2025 16:39:36
scan ,Group3.Pos::ILS150CCHA x: (mm),T(cnts), dT(cnts), Tdark(cnts), dTonTdark(cnts), A(cnts), B(cnts), C(cnts), D(cnts), T2(cnts), dT2(cnts), Tdark2(cnts), dTonTdark2(cnts), A2(cnts), B2(cnts), C2(cnts), D2(cnts)
1, 1.9, -0.248787, 0.0646515, -0.216461, -0.298675, 429.774, 429.557, 429.459, 429.178, -0.248787, 0.0646515, -0.216461, -0.298675, 429.774, 429.557, 429.459, 429.178
1, 1.90526, -0.218643, -0.0206909, -0.228989, 0.0903578, 429.959, 429.73, 429.734, 429.526, -0.218643, -0.0206909, -0.228989, 0.0903578, 429.959, 429.73, 429.734, 429.526
1, 1.91053, -0.382523, 0.21344, -0.275803, -0.773887, 426.278, 426.002, 426.133, 425.644, -0.382523, 0.21344, -0.275803, -0.773887, 426.278, 426.002, 426.133, 425.644
1, 1.91579, -0.339737, -0.0548706, -0.367172, 0.149441, 432.165, 431.798, 431.963, 431.651, -0.339737, -0.0548706, -0.367172, 0.149441, 432.165, 431.798, 431.963, 431.651
1, 1.92105, -0.640755, 0.100113, -0.590698, -0.169482, 438.192, 437.602, 438.07, 437.379, -0.640755, 0.100113, -0.590698, -0.169482, 438.192, 437.602, 438.07, 437.379
1, 1.92632, -0.717979, 0.0302277, -0.702866, -0.0430063, 431.48, 430.777, 431.353, 430.62, -0.717979, 0.0302277, -0.702866, -0.0430063, 431.48, 430.777, 431.353, 430.62
1, 1.93158, -0.549355, 0.0249786, -0.536865, -0.0465268, 421.457, 420.92, 421.329, 420.767, -0.549355, 0.0249786, -0.536865, -0.0465268, 421.457, 420.92, 421.329, 420.767
1, 1.93684, -0.382576, 0.237045, -0.264053, -0.897717, 417.463, 417.199, 417.075, 416.574, -0.382576, 0.237045, -0.264053, -0.897717, 417.463, 417.199, 417.075, 416.574
1, 1.94211, -0.359787, -0.401489, -0.560532, 0.716265, 424.321, 423.76, 423.645, 423.486, -0.359787, -0.401489, -0.560532, 0.716265, 424.321, 423.76, 423.645, 423.486
1, 1.94737, -0.637505, 0.148697, -0.563156, -0.264042, 432.182, 431.619, 431.965, 431.253, -0.637505, 0.148697, -0.563156, -0.264042, 432.182, 431.619, 431.965, 431.253
