# 
# Experiment started at 03.04.2025 15:51:48
scan ,Group3.Pos::ILS150CCHA x: (mm),T(cnts), dT(cnts), Tdark(cnts), dTonTdark(cnts), A(cnts), B(cnts), C(cnts), D(cnts), T2(cnts), dT2(cnts), Tdark2(cnts), dTonTdark2(cnts), A2(cnts), B2(cnts), C2(cnts), D2(cnts)
1, 1.9, 1.21776, 0.222778, 1.32915, 0.16761, 251.285, 252.614, 251.024, 252.13, 1.21776, 0.222778, 1.32915, 0.16761, 251.285, 252.614, 251.024, 252.13
1, 1.90526, 0.505409, 0.253952, 0.632385, 0.401578, 251.709, 252.341, 251.526, 251.904, 0.505409, 0.253952, 0.632385, 0.401578, 251.709, 252.341, 251.526, 251.904
1, 1.91053, -0.21637, 0.249329, -0.0917053, -2.7188, 247.872, 247.781, 247.644, 247.303, -0.21637, 0.249329, -0.0917053, -2.7188, 247.872, 247.781, 247.644, 247.303
1, 1.91579, -0.676613, 0.190536, -0.581345, -0.327751, 248.746, 248.164, 248.506, 247.734, -0.676613, 0.190536, -0.581345, -0.327751, 248.746, 248.164, 248.506, 247.734
1, 1.92105, -0.831001, 0.333542, -0.66423, -0.502148, 251.846, 251.181, 251.658, 250.66, -0.831001, 0.333542, -0.66423, -0.502148, 251.846, 251.181, 251.658, 250.66
1, 1.92632, -0.509331, 0.236282, -0.39119, -0.60401, 251.097, 250.706, 250.843, 250.215, -0.509331, 0.236282, -0.39119, -0.60401, 251.097, 250.706, 250.843, 250.215
1, 1.93158, 0.421806, 0.187576, 0.515594, 0.363806, 246.073, 246.589, 245.834, 246.162, 0.421806, 0.187576, 0.515594, 0.363806, 246.073, 246.589, 245.834, 246.162
1, 1.93684, 1.43135, 0.214172, 1.53844, 0.139214, 246.415, 247.953, 246.197, 247.522, 1.43135, 0.214172, 1.53844, 0.139214, 246.415, 247.953, 246.197, 247.522
1, 1.94211, 1.74645, 0.291183, 1.89204, 0.153899, 251.583, 253.475, 251.306, 252.907, 1.74645, 0.291183, 1.89204, 0.153899, 251.583, 253.475, 251.306, 252.907
1, 1.94737, 1.19879, 0.220428, 1.30901, 0.168394, 247.776, 249.085, 247.552, 248.641, 1.19879, 0.220428, 1.30901, 0.168394, 247.776, 249.085, 247.552, 248.641
